"","Population","N","f","sd","se","ci"
"1",906035,23,10.557808284311,1.08900134828874,0.22707247804579,0.470919496681392
"2",906044,23,10.3292194191248,1.34232912875333,0.279894971753744,0.580466643761848
"3",1181396,24,10.5525969920076,1.09013285487083,0.222522437189753,0.460322733181577
"4",2276018,24,11.0500851198143,0.629538870888271,0.128504083910344,0.26583095115106
"5",2276020,23,11.0847182947275,0.792793915745574,0.165308958809702,0.342829797558698
"6",2276206,28,11.560290673097,1.15425744760565,0.218134153950623,0.447574313762496
"7",2278765,26,11.0150847442139,0.979325922612198,0.192061614983341,0.39555830056225
"8",2278766,27,11.6766031261988,1.15453238231163,0.22218986057192,0.456717799373538
"9",2287937,29,12.433405881577,0.933515598267774,0.173349494713887,0.355090342998523
"10",2287954,9,10.6453048849957,1.74511990998147,0.58170663666049,1.3414179096148
"11",2292396,26,12.2522567785706,0.662467219897454,0.129920510822026,0.267576300831365
"12",2382989,14,11.1509530190517,0.925665772498528,0.24739458395378,0.534463504952399
"13",2401944,26,12.2318091272964,1.23487655779036,0.24217921788659,0.498777435913074
"14",9742332,25,12.2837439124322,1.14358412419939,0.228716824839877,0.472048325807152
"15",9742335,29,12.4070865979276,1.09843725620849,0.203974677757909,0.417823186664684
"16",9742339,24,10.0043419806691,1.12938044260452,0.230533817488308,0.476895536006143
"17",20148874,24,10.9436320657589,0.591439850032708,0.120727153844028,0.249743145583681
"18",20148875,22,11.1358124705636,0.680781240670916,0.1451430481925,0.301841492487101
"19",20148876,23,9.93788578505642,1.38927630108066,0.289684133883213,0.6007681234595
"20",20148877,22,10.2031165330104,1.25223100019188,0.266976546283612,0.55520812186898
"21",20148878,24,10.7282668410023,0.533791377712317,0.108959708707702,0.22540033064723
"22",20148879,23,10.9586055706433,0.788255305624249,0.164362593179621,0.340867155366081
